filename,subject,q1,q2,q3,q4,mora,word,initial_tone,final_tone,accented_mora,mora_dur,mora_int,mora_f0_max,word_dur,word_int,word_f0_range
P20211210_16_46_Q094_T18_03_56,P20211210_16_46,18,29,84,0,de,sumimasendesita,%LH,LHL%,se,0.10510908190227108,56.49504746067362,104.91566236579926,1.030084354829425,55.91582686799407,33.22291408115143
P20211210_16_46_Q094_T18_03_56,P20211210_16_46,18,29,84,0,si,sumimasendesita,%LH,LHL%,se,0.12281166411739042,56.343408084111324,--undefined--,1.030084354829425,55.91582686799407,33.22291408115143
P20211210_16_46_Q094_T18_03_56,P20211210_16_46,18,29,84,0,ta,sumimasendesita,%LH,LHL%,se,0.19777612922498222,56.660757772364356,95.30410902578586,1.030084354829425,55.91582686799407,33.22291408115143
P20211210_16_46_Q096_T18_12_21,P20211210_16_46,39,70,80,1,su,sumimasen,%LH,LHL%,ma,0.11556423579963582,42.87180980218917,--undefined--,0.5418018422877455,57.51978933914515,37.32116521287608
P20211210_16_46_Q096_T18_12_21,P20211210_16_46,39,70,80,1,mi,sumimasen,%LH,LHL%,ma,0.08958533764683718,56.40879008945633,125.93237664587676,0.5418018422877455,57.51978933914515,37.32116521287608
P20211210_16_46_Q096_T18_12_21,P20211210_16_46,39,70,80,1,ma,sumimasen,%LH,LHL%,ma,0.07921229855088763,61.15487911814651,128.7187789549947,0.5418018422877455,57.51978933914515,37.32116521287608
P20211210_16_46_Q096_T18_12_21,P20211210_16_46,39,70,80,1,se,sumimasen,%LH,LHL%,ma,0.16219661131848429,59.10779866211964,137.96958020222306,0.5418018422877455,57.51978933914515,37.32116521287608
P20211210_16_46_Q096_T18_12_21,P20211210_16_46,39,70,80,1,n,sumimasen,%LH,LHL%,ma,0.09524335897190062,54.8695655323709,122.25834455794626,0.5418018422877455,57.51978933914515,37.32116521287608
P20211210_16_46_Q098_T17_24_15,P20211210_16_46,82,85,23,1,mo,moosiwakenaidesu,%LH,LHL%,n,0.0927207804046769,55.945978557188326,147.20133260868053,1.0567158921744242,57.59141255568288,64.69652588481402
P20211210_16_46_Q098_T17_24_15,P20211210_16_46,82,85,23,1,o,moosiwakenaidesu,%LH,LHL%,n,0.05031569009863157,57.002216617782494,146.1345124244608,1.0567158921744242,57.59141255568288,64.69652588481402
P20211210_16_46_Q098_T17_24_15,P20211210_16_46,82,85,23,1,si,moosiwakenaidesu,%LH,LHL%,n,0.12967265099244651,59.263702881524274,154.118854103471,1.0567158921744242,57.59141255568288,64.69652588481402
P20211210_16_46_Q098_T17_24_15,P20211210_16_46,82,85,23,1,wa,moosiwakenaidesu,%LH,LHL%,n,0.08442229882320751,61.474015733538124,144.86095079904595,1.0567158921744242,57.59141255568288,64.69652588481402
P20211210_16_46_Q098_T17_24_15,P20211210_16_46,82,85,23,1,ke,moosiwakenaidesu,%LH,LHL%,n,0.13370336126076499,56.26072669781137,152.86568423495868,1.0567158921744242,57.59141255568288,64.69652588481402
P20211210_16_46_Q098_T17_24_15,P20211210_16_46,82,85,23,1,n,moosiwakenaidesu,%LH,LHL%,n,0.04052270343513964,55.476844308269136,142.5324091878076,1.0567158921744242,57.59141255568288,64.69652588481402
P20211210_16_46_Q098_T17_24_15,P20211210_16_46,82,85,23,1,a,moosiwakenaidesu,%LH,LHL%,n,0.07796853887722577,58.183258381430306,143.47783206386188,1.0567158921744242,57.59141255568288,64.69652588481402
P20211210_16_46_Q098_T17_24_15,P20211210_16_46,82,85,23,1,i,moosiwakenaidesu,%LH,LHL%,n,0.04795186573158183,57.63365904000379,142.77904883351684,1.0567158921744242,57.59141255568288,64.69652588481402
P20211210_16_46_Q098_T17_24_15,P20211210_16_46,82,85,23,1,de,moosiwakenaidesu,%LH,LHL%,n,0.10603440732194835,59.373810234480054,140.01810091878258,1.0567158921744242,57.59141255568288,64.69652588481402
P20211210_16_46_Q098_T17_24_15,P20211210_16_46,82,85,23,1,su,moosiwakenaidesu,%LH,LHL%,n,0.293403595228801,54.10228677848451,123.35566335211766,1.0567158921744242,57.59141255568288,64.69652588481402
P20211210_16_46_Q099_T17_09_33,P20211210_16_46,94,75,23,1,mo,moosiwakenaidesu,%LH,LHL%,n,0.13689209336916608,50.86433875071706,127.59831012862244,1.2720000000000002,54.88713213148425,60.57498924071275
P20211210_16_46_Q099_T17_09_33,P20211210_16_46,94,75,23,1,o,moosiwakenaidesu,%LH,LHL%,n,0.058580410772734126,53.4999819711626,129.75310750131405,1.2720000000000002,54.88713213148425,60.57498924071275
P20211210_16_46_Q099_T17_09_33,P20211210_16_46,94,75,23,1,si,moosiwakenaidesu,%LH,LHL%,n,0.16179351546755116,56.11006655126908,140.25478412014095,1.2720000000000002,54.88713213148425,60.57498924071275
